40.00,90.94
45.00,96.99
50.00,102.67
55.00,108.62
60.00,114.45
62.00,116.79
64.00,119.20
65.00,120.33
66.00,121.65
68.00,124.21
70.00,126.82
72.00,129.38
74.00,132.05
75.00,133.50
76.00,134.89
78.00,137.81
80.00,140.92
82.00,144.03
84.00,147.38
85.00,149.19
86.00,151.09
88.00,155.02
90.00,159.13
91.00,161.43
92.00,163.96
93.00,166.57
94.00,169.41
95.00,172.53
96.00,176.16
97.00,180.31
97.50,182.75
98.00,185.52
98.50,188.47
99.00,192.67
99.25,195.00
99.50,198.43
99.60,200.17
99.70,202.35
99.80,205.06
99.90,208.57
